,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-12T23:48:57.141,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200124_pseudo-postisrccd.fits,124,gam Gru,cyl_lens,holo4_003,1.3502720004486208,60.0,-0.02669519372284412,1.15,741.3499755859375,-0.20000000298023224,57.36249923706055,4.920599937438965,,,,,    ,,
1,1,2023-09-12T23:50:10.329,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200125_pseudo-postisrccd.fits,125,gam Gru,cyl_lens,holo4_003,1.345132693831498,90.0,-0.02669519372284412,1.15,741.3499755859375,-0.15000000596046448,55.912498474121094,5.17080020904541,,,,,    ,,
2,2,2023-09-12T23:51:53.252,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200126_pseudo-postisrccd.fits,126,gam Gru,cyl_lens,holo4_003,1.3380185530535922,120.0,-0.02669519372284412,1.15,741.3499755859375,-0.10000000149011612,52.787498474121094,4.920599937438965,,,,,    ,,
3,3,2023-09-13T01:15:44.897,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200191_pseudo-postisrccd.fits,191,zet Sgr,cyl_lens,holo4_003,1.0217814740567157,30.0,-0.15169519186019897,1.15,741.6500244140625,-0.2750000059604645,50.20000076293945,5.337600231170654,,,,,    ,,
4,4,2023-09-13T01:16:27.910,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200192_pseudo-postisrccd.fits,192,zet Sgr,cyl_lens,holo4_003,1.022365800495918,60.0,-0.15169519186019897,1.15,741.6500244140625,-0.30000001192092896,50.775001525878906,4.920599937438965,,,,,    ,,
5,5,2023-09-13T01:17:40.949,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200193_pseudo-postisrccd.fits,193,zet Sgr,cyl_lens,holo4_003,1.0233762177289372,90.0,-0.15169519186019897,1.15,741.7999877929688,-0.375,52.150001525878906,4.170000076293945,,,,,    ,,
6,6,2023-09-13T01:19:23.873,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230912,exposure_2023091200194_pseudo-postisrccd.fits,194,zet Sgr,cyl_lens,holo4_003,1.0248418932340952,120.0,-0.15169519186019897,1.15,741.7999877929688,-0.30000001192092896,52.375,4.920599937438965,,,,,    ,,
