,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-14T00:01:25.725,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300183_pseudo-postisrccd.fits,183,gam Gru,cyl_lens,holo4_003,1.2860843707155658,120.0,-0.01018898282200098,1.15,744.0499877929688,6.224999904632568,23.399999618530273,4.420199871063232,,,,,    ,,
1,1,2023-09-14T00:03:38.832,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300184_pseudo-postisrccd.fits,184,gam Gru,cyl_lens,holo4_003,1.2781651265921494,180.0,-0.01018898282200098,1.15,744.2000122070312,6.150000095367432,23.325000762939453,4.086599826812744,,,,,    ,,
2,2,2023-09-14T00:11:00.677,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300185_pseudo-postisrccd.fits,185,gam Gru,cyl_lens,holo4_003,1.253067429864253,240.0,-0.01018898282200098,1.15,744.0499877929688,6.150000095367432,23.975000381469727,4.253399848937988,,,,,    ,,
3,3,2023-09-14T00:16:16.762,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300186_pseudo-postisrccd.fits,186,gam Gru,cyl_lens,holo4_003,1.2361823582555178,300.0,-0.01018898282200098,1.15,744.0499877929688,6.125,24.100000381469727,3.753000020980835,,,,,    ,,
4,4,2023-09-14T01:24:33.083,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300226_pseudo-postisrccd.fits,226,zet Sgr,cyl_lens,holo4_003,1.0333864107665096,60.0,-0.01018898282200098,1.15,744.6500244140625,5.900000095367432,29.125,4.920599937438965,,,,,    ,,
5,5,2023-09-14T01:25:46.165,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300227_pseudo-postisrccd.fits,227,zet Sgr,cyl_lens,holo4_003,1.0346346585019943,120.0,-0.01018898282200098,1.15,744.6500244140625,5.925000190734863,29.075000762939453,4.920599937438965,,,,,    ,,
6,6,2023-09-14T01:27:59.130,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300228_pseudo-postisrccd.fits,228,zet Sgr,cyl_lens,holo4_003,1.0369692412087523,180.0,-0.01018898282200098,1.15,744.6500244140625,6.025000095367432,28.225000381469727,5.254199981689453,,,,,    ,,
7,7,2023-09-14T01:33:42.947,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300229_pseudo-postisrccd.fits,229,zet Sgr,cyl_lens,holo4_003,1.043398019335354,240.0,-0.01018898282200098,1.15,744.6500244140625,6.0,27.625,4.420199871063232,,,,,    ,,
8,8,2023-09-14T01:37:57.993,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_003/20230913,exposure_2023091300230_pseudo-postisrccd.fits,230,zet Sgr,cyl_lens,holo4_003,1.0485291459748094,300.0,-0.01018898282200098,1.15,744.6500244140625,6.125,26.024999618530273,4.420199871063232,,,,,    ,,
