,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-15T02:43:12.124,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400091_pseudo-postisrccd.fits,91,HD160617,empty_1,holo4_001,1.4692287174642278,30.0,0.009000299498438835,1.15,744.0499877929688,14.25,13.350000381469727,1.7513999938964844,,,,,    ,,
1,1,2023-09-15T02:51:58.280,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400100_pseudo-postisrccd.fits,100,HD160617,empty_1,holo4_001,1.5171407249774826,30.0,0.009000299498438835,1.15,743.9000244140625,14.375,13.449999809265137,2.585400104522705,,,,,    ,,
2,2,2023-09-15T02:55:47.976,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400104_pseudo-postisrccd.fits,104,HD160617,empty_1,holo4_001,1.5394079445959676,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,12.875,2.75219988822937,,,,,    ,,
3,3,2023-09-15T02:56:27.521,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400105_pseudo-postisrccd.fits,105,HD160617,empty_1,holo4_001,1.5433143645488019,30.0,0.009000299498438835,1.15,743.9000244140625,14.699999809265137,12.925000190734863,2.418600082397461,,,,,    ,,
4,4,2023-09-15T03:03:48.947,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400116_pseudo-postisrccd.fits,116,HD185975,empty_1,holo4_001,1.8441320323744388,30.0,0.009000299498438835,1.15,743.9000244140625,14.600000381469727,13.125,2.0850000381469727,,,,,    ,,
5,5,2023-09-15T03:04:31.960,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400117_pseudo-postisrccd.fits,117,HD185975,empty_1,holo4_001,1.8442615877037096,30.0,0.009000299498438835,1.15,743.9000244140625,14.600000381469727,13.125,2.251800060272217,,,,,    ,,
6,6,2023-09-15T03:13:04.342,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400128_pseudo-postisrccd.fits,128,HD160617,empty_1,holo4_001,1.651466414080942,30.0,0.009000299498438835,1.15,743.9000244140625,14.725000381469727,12.774999618530273,2.9189999103546143,,,,,    ,,
7,7,2023-09-15T03:13:47.351,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400129_pseudo-postisrccd.fits,129,HD160617,empty_1,holo4_001,1.6565681725141408,30.0,0.009000299498438835,1.15,743.9000244140625,14.774999618530273,12.75,2.418600082397461,,,,,    ,,
8,8,2023-09-15T03:29:38.515,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400141_pseudo-postisrccd.fits,141,HD167060,empty_1,holo4_001,1.5440700770506388,30.0,0.009000299498438835,1.15,743.9000244140625,14.737500190734863,13.0,1.8348000049591064,,,,,    ,,
9,9,2023-09-15T03:30:21.512,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230914,exposure_2023091400142_pseudo-postisrccd.fits,142,HD167060,empty_1,holo4_001,1.546722851122422,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.074999809265137,2.418600082397461,,,,,    ,,
