,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-13T01:44:58.433,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_001/20230912,exposure_2023091200209_pseudo-postisrccd.fits,209,zet Sgr,cyl_lens,holo4_001,1.0524521873522525,60.0,-0.15169519186019897,1.15,741.9500122070312,-0.44999998807907104,59.07500076293945,4.753799915313721,,,,,    ,,
1,1,2023-09-13T01:46:11.442,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_001/20230912,exposure_2023091200210_pseudo-postisrccd.fits,210,zet Sgr,cyl_lens,holo4_001,1.0540480438816646,90.0,-0.15169519186019897,1.15,741.9500122070312,-0.44999998807907104,58.974998474121094,5.421000003814697,,,,,    ,,
2,2,2023-09-13T01:47:54.376,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/cyl_lens~holo4_001/20230912,exposure_2023091200211_pseudo-postisrccd.fits,211,zet Sgr,cyl_lens,holo4_001,1.0563416101768037,120.0,-0.15169519186019897,1.15,741.9500122070312,-0.5,59.724998474121094,4.837200164794922,,,,,    ,,
