,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-13T00:40:46.134,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200152_pseudo-postisrccd.fits,152,HD312412,empty_1,holo4_001,1.0808076915798899,60.0,-0.02669519372284412,1.15,741.6500244140625,-0.17499999701976776,37.525001525878906,5.671199798583984,,,,,    ,,
1,1,2023-09-13T00:41:59.155,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200153_pseudo-postisrccd.fits,153,HD312412,empty_1,holo4_001,1.0826655561697385,90.0,-0.02669519372284412,1.15,741.6500244140625,-0.15000000596046448,38.025001525878906,5.421000003814697,,,,,    ,,
2,2,2023-09-13T01:51:16.939,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200212_pseudo-postisrccd.fits,212,zet Sgr,empty_1,holo4_001,1.0610140598625717,30.0,-0.15169519186019897,1.15,741.9500122070312,-0.4124999940395355,59.349998474121094,4.586999893188477,,,,,    ,,
3,3,2023-09-13T01:51:59.913,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200213_pseudo-postisrccd.fits,213,zet Sgr,empty_1,holo4_001,1.0620328171258664,60.0,-0.15169519186019897,1.15,742.0999755859375,-0.4000000059604645,59.57500076293945,5.004000186920166,,,,,    ,,
4,4,2023-09-13T01:53:12.923,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200214_pseudo-postisrccd.fits,214,zet Sgr,empty_1,holo4_001,1.063787209702562,90.0,-0.15169519186019897,1.15,742.0999755859375,-0.5,60.275001525878906,5.087399959564209,,,,,    ,,
5,5,2023-09-13T01:58:40.456,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200215_pseudo-postisrccd.fits,215,HD167611,empty_1,holo4_001,1.2138096627948074,30.0,-0.15169519186019897,1.15,742.0999755859375,-0.5,59.32500076293945,5.421000003814697,,,,,    ,,
6,6,2023-09-13T01:59:23.484,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200216_pseudo-postisrccd.fits,216,HD167611,empty_1,holo4_001,1.2160345996008293,60.0,-0.15169519186019897,1.15,742.0999755859375,-0.4749999940395355,58.92499923706055,6.088200092315674,,,,,    ,,
7,7,2023-09-13T02:00:36.476,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200217_pseudo-postisrccd.fits,217,HD167611,empty_1,holo4_001,1.2198411172395371,90.0,-0.15169519186019897,1.15,742.0999755859375,-0.550000011920929,60.86249923706055,5.337600231170654,,,,,    ,,
8,8,2023-09-13T02:23:08.824,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200228_pseudo-postisrccd.fits,228,M18,empty_1,holo4_001,1.300291245085374,30.0,-0.07170725613832474,1.15,742.25,-0.75,65.5,4.086599826812744,,,,,    ,,
9,9,2023-09-13T02:23:51.751,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200229_pseudo-postisrccd.fits,229,M18,empty_1,holo4_001,1.303171539472356,60.0,-0.07170725613832474,1.15,742.25,-0.75,65.75,4.170000076293945,,,,,    ,,
10,10,2023-09-13T02:25:04.673,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200230_pseudo-postisrccd.fits,230,M18,empty_1,holo4_001,1.3081361496801325,90.0,-0.07170725613832474,1.15,742.25,-0.75,66.05000305175781,4.586999893188477,,,,,    ,,
11,11,2023-09-13T02:46:44.427,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200247_pseudo-postisrccd.fits,247,HD167060,empty_1,holo4_001,1.38740587777722,30.0,-0.0258848313242197,1.15,742.25,-0.675000011920929,74.61250305175781,6.588600158691406,,,,,    ,,
12,12,2023-09-13T02:47:27.432,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200248_pseudo-postisrccd.fits,248,HD167060,empty_1,holo4_001,1.3892270921945775,30.0,-0.0258848313242197,1.15,742.25,-0.574999988079071,73.94999694824219,5.92140007019043,,,,,    ,,
13,13,2023-09-13T02:57:40.240,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200262_pseudo-postisrccd.fits,262,Feige110,empty_1,holo4_001,1.2115928412292845,30.0,-0.0258848313242197,1.15,742.5499877929688,-0.6499999761581421,77.2249984741211,5.587800025939941,,,,,    ,,
14,14,2023-09-13T02:58:23.261,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200263_pseudo-postisrccd.fits,263,Feige110,empty_1,holo4_001,1.2099362366049973,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.675000011920929,77.7249984741211,5.087399959564209,,,,,    ,,
15,15,2023-09-13T03:07:29.442,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200277_pseudo-postisrccd.fits,277,HD009051,empty_1,holo4_001,1.5066585225403863,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.6499999761581421,76.57499694824219,5.254199981689453,,,,,    ,,
16,16,2023-09-13T03:08:12.476,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200278_pseudo-postisrccd.fits,278,HD009051,empty_1,holo4_001,1.502118467685841,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.6499999761581421,76.76249694824219,6.75540018081665,,,,,    ,,
17,17,2023-09-13T03:17:04.415,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200292_pseudo-postisrccd.fits,292,HD2811,empty_1,holo4_001,1.1877499570359698,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.4749999940395355,68.57499694824219,6.255000114440918,,,,,    ,,
18,18,2023-09-13T03:17:47.409,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200293_pseudo-postisrccd.fits,293,HD2811,empty_1,holo4_001,1.1860555422596673,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.4749999940395355,68.375,6.255000114440918,,,,,    ,,
19,19,2023-09-13T03:27:59.142,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200307_pseudo-postisrccd.fits,307,HD205905,empty_1,holo4_001,1.0084106661077334,30.0,-0.0258848313242197,1.15,742.25,-0.550000011920929,69.80000305175781,5.92140007019043,,,,,    ,,
20,20,2023-09-13T03:28:42.167,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200308_pseudo-postisrccd.fits,308,HD205905,empty_1,holo4_001,1.008742805218537,30.0,-0.0258848313242197,1.15,742.25,-0.550000011920929,69.75,6.088200092315674,,,,,    ,,
21,21,2023-09-13T03:43:07.955,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200322_pseudo-postisrccd.fits,322,HD14943,empty_1,holo4_001,1.489710819344997,30.0,-0.0258848313242197,1.15,742.25,-0.6000000238418579,69.1500015258789,7.172399997711182,,,,,    ,,
22,22,2023-09-13T03:43:50.908,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200323_pseudo-postisrccd.fits,323,HD14943,empty_1,holo4_001,1.4864935125332173,30.0,-0.0258848313242197,1.15,742.25,-0.6000000238418579,67.67500305175781,7.422599792480469,,,,,    ,,
23,23,2023-09-13T03:55:09.994,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_001/20230912,exposure_2023091200337_pseudo-postisrccd.fits,337,HD009051,empty_1,holo4_001,1.271517060589751,30.0,-0.0258848313242197,1.15,742.25,-0.5249999761581421,62.57500076293945,7.589399814605713,,,,,    ,,
